"f_low"	"f_center"	"f_high"	"BW"
"1"	13.9	15.6	17.5	23.2
"2"	17.5	19.7	22.1	23.2
"3"	22.1	24.8	27.8	23.2
"4"	27.8	31.2	35.1	23.2
"5"	35.1	39.4	44.2	23.2
"6"	44.2	49.6	55.7	23.2
"7"	55.7	62.5	70.2	23.2
"8"	70.2	78.7	88.4	23.2
"9"	88.4	99.2	111.4	23.2
"10"	111.4	125	140.3	23.2
"11"	140.3	157.5	176.8	23.2
"12"	176.8	198.4	222.7	23.2
"13"	222.7	250	280.6	23.2
"14"	280.6	315	353.6	23.2
"15"	353.6	396.9	445.4	23.2
"16"	445.4	500	561.2	23.2
"17"	561.2	630	707.1	23.2
"18"	707.1	793.7	890.9	23.2
"19"	890.9	1000	1122.5	23.2
"20"	1122.5	1259.9	1414.2	23.2
"21"	1414.2	1587.4	1781.8	23.2
"22"	1781.8	2000	2244.9	23.2
"23"	2244.9	2519.8	2828.4	23.2
"24"	2828.4	3174.8	3563.6	23.2
"25"	3563.6	4000	4489.8	23.2
"26"	4489.8	5039.7	5656.9	23.2
"27"	5656.9	6349.6	7127.2	23.2
"28"	7127.2	8000	8979.7	23.2
"29"	8979.7	10079.4	11313.7	23.2
"30"	11313.7	12699.2	14254.4	23.2
"31"	14254.4	16000	17959.4	23.2
"32"	17959.4	20158.7	22627.4	23.2
"33"	22627.4	25398.4	28508.8	23.2
